row,col,mean_var,median_var,max_var,top5_var,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,edge_orientation_conf,row_second_diff,col_second_diff,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score
98,67,1115.94,547.16,4230.72,4013.95,34,14,16.87,59.94,58.86,232.64,97.18,236.79,29.75,0.36,43.47,27.32,0.63,0.93,0.52,0.61,0.44,0.72,0.93,0.61,0.65,0.61,0.5,0.8,0.44,0.56,0.41,0.21
98,68,1008.66,883.3,2711.04,2411.02,42,8,16.88,67.2,61.9,260.2,105.56,260.2,30.46,0.27,48.14,21.63,0.45,0.93,0.58,0.69,0.46,0.66,0.93,0.69,0.72,0.74,0.54,0.85,0.46,0.64,0.3,0.33
100,65,1956.37,1643.28,4868.98,4460.6,59,27,24.32,70.78,89.41,262.21,154.44,288.25,43.38,0.24,54.82,36.86,0.67,0.87,0.72,0.79,0.65,0.82,0.87,0.79,1.0,0.8,0.29,0.81,0.65,0.88,0.58,0.25
100,66,1202.22,876.44,4239.18,3685.95,51,13,18.75,65.13,66.52,242.37,113.93,252.58,30.66,0.1,42.55,39.23,0.92,0.93,0.66,0.67,0.65,0.98,0.93,0.67,0.75,0.67,0.46,0.93,0.65,0.79,0.59,0.46
100,67,482.08,93.02,3237.75,2283.15,20,2,9.19,72.37,32.72,253.22,54.39,253.22,17.02,0.38,18.3,11.53,0.63,0.62,0.35,0.46,0.23,0.5,0.6,0.46,0.73,0.24,0.25,0.62,0.23,0.38,0.13,0.08
101,65,809.73,674.96,4466.53,3427.07,33,4,10.59,49.97,38.8,182.29,75.6,251.3,21.91,0.25,20.03,23.59,0.85,0.7,0.41,0.48,0.35,0.74,0.63,0.35,0.45,0.28,0.25,0.7,0.48,0.63,0.34,0.37
101,66,1262.61,1196.09,3545.11,2978.91,53,10,21.22,71.29,83.37,255.08,132.05,255.08,35.45,0.11,53.83,44.21,0.82,0.93,0.76,0.79,0.72,0.91,0.93,0.79,0.86,0.83,0.58,0.9,0.72,0.82,0.71,0.5
101,67,1630.46,1334.04,5411.24,4674.71,45,21,18.62,92.21,64.65,332.36,123.04,332.36,36.91,0.36,46.6,34.09,0.73,0.93,0.61,0.67,0.56,0.85,0.93,0.67,0.75,0.67,0.46,0.8,0.56,0.67,0.51,0.42
102,65,1599.32,1460.64,4681.39,4308.99,52,20,19.87,62.49,73.04,219.22,132.16,302.06,34.43,0.04,38.36,47.27,0.81,1.0,0.72,0.77,0.66,0.87,0.92,0.66,0.86,0.61,0.33,1.0,0.77,0.9,0.74,0.5
102,66,1016.91,89.02,4950.87,4758.81,24,12,10.61,77.17,39.51,269.5,69.33,321.96,19.77,0.14,18.62,21.12,0.88,0.93,0.35,0.38,0.33,0.88,0.67,0.38,0.51,0.25,0.29,0.93,0.33,0.36,0.32,0.29
