row,col,mean_var,median_var,max_var,top5_var,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,edge_orientation_conf,row_second_diff,col_second_diff,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score
93,41,1552.13,1335.73,3261.56,3199.56,32,32,20.02,39.67,60.64,126.0,65.23,155.0,30.91,0.95,58.58,1.02,0.02,0.8,0.4,0.79,0.0,0.0,0.8,0.79,1.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0
93,42,733.09,4.64,3193.56,3183.62,16,16,10.32,40.33,31.34,122.0,35.44,143.0,17.69,0.95,23.58,0.42,0.02,0.76,0.31,0.62,0.0,0.0,0.76,0.62,0.94,0.34,0.42,0.0,0.0,0.0,0.0,0.0
93,43,0.29,0.22,1.65,0.8,0,0,0.27,0.67,0.97,4.0,1.28,4.0,0.35,0.23,0.65,0.44,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,40,760.54,9.21,3370.67,3347.58,17,13,10.87,44.78,35.47,147.0,45.34,203.0,17.73,0.76,39.23,4.85,0.12,0.92,0.42,0.74,0.09,0.12,0.92,0.74,1.0,0.62,0.37,0.44,0.09,0.12,0.01,0.17
94,41,1480.68,1098.75,3458.17,3398.84,39,26,19.88,46.89,65.66,178.0,84.75,237.0,28.97,0.62,52.46,14.44,0.28,1.0,0.56,0.75,0.38,0.51,1.0,0.75,0.83,0.79,0.46,0.71,0.38,0.51,0.17,0.46
94,42,603.53,9.75,3050.22,2985.16,15,12,8.69,36.89,28.7,118.0,39.45,196.0,17.81,0.79,20.62,3.75,0.18,0.69,0.31,0.54,0.07,0.13,0.69,0.54,0.73,0.28,0.58,0.38,0.07,0.1,0.01,0.12
95,40,141.96,5.06,2139.95,1622.42,5,1,3.25,31.78,12.83,142.0,20.27,193.0,6.09,0.34,4.27,7.21,0.59,0.71,0.12,0.14,0.1,0.71,0.57,0.1,0.11,0.02,0.21,0.71,0.14,0.15,0.05,0.25
95,41,645.17,11.78,3059.28,2928.19,19,13,9.03,42.78,33.88,139.0,49.34,225.0,17.52,0.54,8.73,28.35,0.31,0.86,0.39,0.61,0.16,0.27,0.62,0.16,0.21,0.08,0.21,0.86,0.61,0.89,0.42,0.29
95,42,19.96,0.17,1041.36,247.96,1,0,0.62,16.44,1.83,43.0,2.27,51.0,1.31,0.67,0.52,0.27,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,40,0.5,0.32,2.54,1.92,0,0,0.33,0.89,1.08,4.0,1.39,8.0,0.58,0.59,0.88,0.31,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,41,0.11,0.0,1.65,1.02,0,0,0.07,0.78,0.19,2.0,0.34,5.0,0.14,0.44,0.17,0.06,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,42,0.06,0.0,0.22,0.22,0,0,0.08,0.33,0.25,1.0,0.25,1.0,0.12,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,35,0.14,0.0,2.17,1.5,0,0,0.03,0.44,0.17,4.0,0.17,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,36,483.66,298.84,1851.56,1662.93,23,0,8.86,29.33,29.91,109.0,49.44,141.0,12.89,0.18,14.81,22.25,0.67,0.78,0.34,0.36,0.32,0.91,0.59,0.36,0.56,0.18,0.21,0.78,0.32,0.35,0.33,0.25
88,37,673.73,488.77,1931.33,1818.39,31,0,10.91,33.56,37.25,121.0,60.53,163.0,20.7,0.45,32.88,11.37,0.35,0.72,0.4,0.56,0.23,0.41,0.72,0.56,0.77,0.51,0.21,0.49,0.23,0.33,0.12,0.21
89,35,0.69,0.0,12.02,7.78,0,0,0.06,1.22,0.45,7.0,0.45,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,36,284.3,16.05,1711.8,1622.67,12,0,6.31,37.56,25.09,158.0,36.81,190.0,9.56,0.08,14.37,15.19,0.95,0.73,0.31,0.32,0.31,0.94,0.62,0.32,0.41,0.18,0.38,0.73,0.31,0.35,0.19,0.42
89,37,627.1,395.54,1698.25,1669.44,31,0,9.71,32.22,33.55,118.0,60.64,183.0,21.02,0.56,11.21,28.46,0.39,0.64,0.38,0.57,0.19,0.33,0.64,0.19,0.25,0.12,0.17,0.64,0.57,0.84,0.43,0.21
