参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 15, 'max_depth': 6, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0810, 测试集:0.1117, 下限值:0.1117, 差异:0.0307
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 15, 'max_depth': 6, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0819, 测试集:0.1102, 下限值:0.1102, 差异:0.0283
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 6, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0573, 测试集:0.1009, 下限值:0.1009, 差异:0.0435
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 6, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0584, 测试集:0.1018, 下限值:0.1018, 差异:0.0434
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 6, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0562, 测试集:0.0987, 下限值:0.0987, 差异:0.0424
参数:{'learning_rate': 0.1, 'n_estimators': 130, 'num_leaves': 31, 'max_depth': 6, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0584, 测试集:0.1009, 下限值:0.1009, 差异:0.0425
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 8, 'reg_alpha': 0.0, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0876, 测试集:0.1161, 下限值:0.1161, 差异:0.0285
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 8, 'reg_alpha': 0.0, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0892, 测试集:0.1126, 下限值:0.1126, 差异:0.0234
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 8, 'reg_alpha': 0.1, 'reg_lambda': 0.0, 'random_state': 618}, 训练集:0.0883, 测试集:0.1148, 下限值:0.1148, 差异:0.0265
参数:{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 15, 'max_depth': 8, 'reg_alpha': 0.1, 'reg_lambda': 1.0, 'random_state': 618}, 训练集:0.0890, 测试集:0.1139, 下限值:0.1139, 差异:0.0249
