name,row,col,mean_var,max_var,top5_var,low_var_count,high_var_count,very_high_var_count,residual_mean,residual_max,lap_mean,lap_max,grad_mean,grad_max,edge_strength,h_strength,h_strength_max,h_strength_min,v_strength,v_strength_max,v_strength_min,edge_orientation_conf,row_second_diff,row_second_diff_max,row_second_diff_min,col_second_diff,col_second_diff_max,col_second_diff_min,second_diff_max,second_diff_min_max,profile_ringing_max,profile_ringing_mean,ringing_mean_max,ringing_mean_min,ringing_mean_min_max,row_ringing_max,row_ringing_min,row_ringing_mean,row_ringing_dyn_score,row_ringing_d2_score,row_ringing_sign_score,col_ringing_max,col_ringing_min,col_ringing_mean,col_ringing_dyn_score,col_ringing_d2_score,col_ringing_sign_score,row_diff_mean,row_diff_max,col_diff_mean,col_diff_max,low_var_th,high_var_th,very_high_var_th,max_strength_th,eps,dyn_score_lo,dyn_score_hi,d2_score_lo,d2_score_hi,sign_score_lo,sign_score_hi,dyn_ratio,d2_ratio,sign_ratio
05.02.25#out1#mnr_input0012,61,220,50.02,152.21,132.11,57,0,0,3.2,10.11,10.02,31.0,21.17,43.93,6.83,6.83,21.0,0.0,3.44,15.0,0.0,0.5,9.4,11.0,8.0,2.26,4.43,0.81,9.4,0.24,0.18,0.08,0.14,0.02,0.13,0.18,0.09,0.14,0.2,0.08,0.12,0.1,0.0,0.02,0.04,0.0,0.0,1.52,3.0,6.99,14.62,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,57,221,61.74,138.38,129.81,55,0,0,4.0,11.1,13.58,45.43,26.36,47.79,7.12,7.12,22.72,0.0,5.99,19.0,0.01,0.16,8.35,11.71,4.69,6.31,10.04,2.93,8.35,0.76,0.21,0.08,0.11,0.06,0.52,0.21,0.01,0.11,0.05,0.06,0.33,0.17,0.0,0.06,0.05,0.03,0.12,4.82,9.0,3.82,5.61,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,58,221,40.1,142.44,121.52,60,0,0,3.86,11.11,13.21,49.0,22.07,55.0,5.8,5.8,21.0,0.0,4.67,15.29,0.0,0.19,10.22,12.19,7.88,3.61,4.71,1.5,10.22,0.35,0.25,0.1,0.18,0.02,0.12,0.25,0.09,0.18,0.0,0.09,0.71,0.07,0.0,0.02,0.01,0.0,0.08,2.46,4.25,4.98,6.62,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,59,221,101.08,266.62,249.73,37,0,0,4.96,21.0,17.5,77.0,34.81,77.0,9.14,8.68,25.0,0.0,9.14,28.0,0.0,0.05,10.42,15.95,5.73,9.71,12.02,6.33,10.42,0.93,0.32,0.15,0.18,0.13,0.73,0.32,0.04,0.18,0.19,0.1,0.29,0.19,0.01,0.13,0.19,0.09,0.08,6.15,14.12,4.53,8.69,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,60,221,91.26,414.39,317.01,45,0,0,2.96,10.5,10.07,54.07,29.4,79.2,7.72,7.72,22.0,0.0,6.53,24.85,0.0,0.15,5.92,8.68,3.67,5.06,7.52,3.14,5.92,0.85,0.23,0.12,0.14,0.09,0.66,0.21,0.04,0.14,0.27,0.02,0.08,0.23,0.0,0.09,0.18,0.01,0.04,5.51,11.5,6.97,10.88,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,59,222,66.88,177.8,144.92,55,0,0,4.31,12.0,15.78,53.3,29.3,56.92,7.98,7.98,23.21,0.0,6.23,20.86,0.0,0.22,9.69,16.2,5.55,6.01,11.32,3.17,9.69,0.62,0.24,0.1,0.12,0.07,0.61,0.24,0.04,0.12,0.12,0.09,0.21,0.16,0.0,0.07,0.07,0.02,0.17,2.29,4.25,7.02,10.9,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,36,223,82.29,230.69,198.03,51,0,0,5.51,17.9,20.87,78.0,36.09,79.85,9.04,8.33,24.14,0.0,9.04,28.0,0.0,0.08,10.45,14.26,4.97,14.39,21.96,9.52,14.39,0.73,0.29,0.17,0.2,0.15,0.78,0.21,0.02,0.15,0.07,0.1,0.42,0.29,0.07,0.2,0.12,0.17,0.42,5.7,11.34,3.89,7.59,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,37,223,63.23,197.32,157.65,51,0,0,5.43,17.17,19.97,59.36,31.13,66.78,8.46,8.46,25.14,0.0,7.04,24.43,0.0,0.17,14.74,19.88,10.32,9.04,17.54,3.8,14.74,0.61,0.27,0.19,0.25,0.14,0.56,0.27,0.2,0.25,0.06,0.18,0.79,0.26,0.0,0.14,0.06,0.08,0.42,3.68,8.79,5.1,10.36,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,38,223,40.94,144.38,105.13,62,0,0,3.4,12.03,12.02,41.36,23.43,43.42,6.16,6.16,24.71,0.21,5.67,17.0,0.0,0.08,7.51,9.27,3.88,6.49,10.07,1.67,7.51,0.86,0.24,0.08,0.1,0.07,0.69,0.24,0.0,0.1,0.01,0.05,0.38,0.12,0.0,0.07,0.03,0.04,0.21,2.69,6.08,2.68,5.75,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
05.02.25#out1#mnr_input0012,39,223,37.25,122.88,101.95,62,0,0,4.14,19.04,13.71,76.28,24.85,76.28,6.92,6.92,27.79,0.0,5.43,13.0,0.0,0.22,11.3,13.23,10.58,5.42,6.44,4.15,11.3,0.48,0.33,0.12,0.18,0.06,0.34,0.33,0.04,0.18,0.03,0.11,0.62,0.14,0.0,0.06,0.04,0.01,0.21,4.66,10.55,4.84,7.64,100,500,2000,0.0,3.0,20,120,5,60,1,4,0.45,0.35,0.2
